CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2016 Score,Change in Yearly Score from 2015,Property Rights,Change in Property Rights from 2015,Freedom from Corruption,Change in Freedom from Corruption from 2015,Fiscal Freedom ,Change in Fiscal Freedom from 2015,Gov't Spending,Change in Gov't Spending from 2015,Business Freedom,Change in Business Freedom from 2015,Labor Freedom,Change in Labor Freedom from 2015,Monetary Freedom,Change in Monetary Freedom from 2015,Trade Freedom,Change in Trade Freedom from 2015,Investment Freedom ,Change in Investment Freedom from 2015,Financial Freedom,Change in Financial Freedom from 2015,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
182,Zambia,Zambia,Sub-Saharan Africa,106,16,58.8,0.1,30.0,0.0,38.0,0.0,73.3,1.4,81.1,3.1,66.4,-1.8,48.3,2.3,72.6,-0.6,78.2,1.4,50,-5.0,50,0.0,3.4,35.0,35.0,14.7,25.1,Zambia,15.0,$61.0 ,5.4,7.1,"$4,064",13.3,7.9,"2,483.8",31.1
183,Zimbabwe,Zimbabwe,Sub-Saharan Africa,175,46,38.2,0.6,10.0,0.0,21.0,0.0,60.8,-5.8,73.6,-0.6,37.6,0.5,30.0,6.3,79.1,3.7,50.2,-8.2,10,10.0,10,0.0,14.9,51.5,25.0,25.3,29.7,Zimbabwe,13.3,$27.1 ,3.2,8.3,"$2,046",5.4,-0.2,544.8,54.0
184,Somalia,Somalia,Sub-Saharan Africa,N/A,N/A,N/A,N/A,N/A,N/A,8.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Somalia,10.5,N/A,3.7,N/A,$600 ,N/A,N/A,N/A,N/A
185,Kosovo,Kosovo,Europe,84,35,61.4,,30.0,0.0,33.0,0.0,93.6,N/A,76.8,2.9,69.3,2.5,66.3,-5.8,78.9,4.0,70.8,N/A,65,0.0,30,N/A,7.1,10.0,10.0,21.0,27.8,Kosovo,1.87,$16.9 ,2.7,3.3,"$9,037 ",30,0.4,N/A,19.1
186,Brunei Darussalam,Brunei ,Asia-Pacific,51,10,67.3,-1.6,30.0,-5.0,60.0,0.0,87.0,0.0,57.3,-6.3,71.3,3.0,90.2,0.2,76.8,0.2,85.2,3.4,65,-5.0,50,0.0,2.4,0.0,20.0,30.0,37.7,Brunei,0.4,$30.2 ,-0.7,0.9,"$73,233",3.8,-0.2,567.9,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
